chain_code,generation,n,n_pairs,mean_similarity,median_similarity,sd_similarity,min_similarity,max_similarity
0m69p768o_i3oq5e6tH,1,3.0,3.0,0.5915976166725159,0.5631771087646484,0.08612413704395294,0.52327561378479,0.6883401274681091
0m69p768o_i3oq5e6tH,2,3.0,3.0,0.5586785674095154,0.5424932837486267,0.08906128257513046,0.478819876909256,0.6547225713729858
0m69p768o_i3oq5e6tH,3,3.0,3.0,0.6192833781242371,0.5979087352752686,0.11698978394269943,0.5144546031951904,0.7454866766929626
0m69p768o_i3oq5e6tH,4,3.0,3.0,0.49565672874450684,0.5064745545387268,0.08105868846178055,0.4097323417663574,0.5707632899284363
0o9sbfmb3_iow52nbfL,1,3.0,3.0,0.3062472641468048,0.29572051763534546,0.021303405985236168,0.2922564148902893,0.33076488971710205
0o9sbfmb3_iow52nbfL,2,3.0,3.0,0.2655699849128723,0.2890037000179291,0.10115857422351837,0.15475113689899445,0.3529551029205322
0o9sbfmb3_iow52nbfL,3,3.0,3.0,0.1611011028289795,0.11565819382667542,0.10189579427242279,0.08983340859413147,0.2778117060661316
0o9sbfmb3_iow52nbfL,4,3.0,3.0,0.5091427564620972,0.5370413064956665,0.13523399829864502,0.36213529109954834,0.6282517313957214
0u6btckc7_r920kresL,1,3.0,3.0,0.2742861807346344,0.2054586261510849,0.14046527445316315,0.1815088838338852,0.4358910322189331
0u6btckc7_r920kresL,2,3.0,3.0,0.5480301976203918,0.49732595682144165,0.11856820434331894,0.4632450342178345,0.6835196614265442
0u6btckc7_r920kresL,3,3.0,3.0,0.39139947295188904,0.48832201957702637,0.1752694696187973,0.18907491862773895,0.4968014061450958
0u6btckc7_r920kresL,4,3.0,3.0,0.4697554111480713,0.44692283868789673,0.04543584585189819,0.4402642250061035,0.5220791697502136
18w8ees7o_r920kresL,1,3.0,3.0,0.32746484875679016,0.28654688596725464,0.20130635797977448,0.149760901927948,0.5460867285728455
18w8ees7o_r920kresL,2,3.0,3.0,0.5004723072052002,0.5107458829879761,0.05582793802022934,0.4402211308479309,0.5504499673843384
18w8ees7o_r920kresL,3,3.0,3.0,0.43150463700294495,0.32817259430885315,0.21132820844650269,0.29172492027282715,0.6746164560317993
18w8ees7o_r920kresL,4,3.0,3.0,0.5824612975120544,0.6098742485046387,0.115949846804142,0.45526131987571716,0.6822482347488403
2no7usrcu_r920kresL,1,3.0,3.0,0.4083607494831085,0.45065855979919434,0.13147039711475372,0.26094770431518555,0.5134760141372681
2no7usrcu_r920kresL,2,3.0,3.0,0.2754291594028473,0.33771461248397827,0.24109821021556854,0.009299788624048233,0.47927314043045044
2no7usrcu_r920kresL,3,3.0,3.0,0.44765064120292664,0.46388864517211914,0.03553749993443489,0.40689486265182495,0.4721684157848358
2no7usrcu_r920kresL,4,3.0,3.0,0.5386059284210205,0.4275340437889099,0.2043176144361496,0.4138837456703186,0.7743998765945435
3gaxclyyh_7p2nvof4H,1,3.0,3.0,0.6005141139030457,0.5934871435165405,0.15458796918392181,0.44955942034721375,0.7584956884384155
3gaxclyyh_7p2nvof4H,2,3.0,3.0,0.5235555768013,0.5390787124633789,0.029428189620375633,0.48961591720581055,0.5419721007347107
3gaxclyyh_7p2nvof4H,3,3.0,3.0,0.2694326341152191,0.2869178056716919,0.13857056200504303,0.12294934689998627,0.3984307646751404
3gaxclyyh_7p2nvof4H,4,3.0,3.0,0.4414985477924347,0.40712615847587585,0.06856285780668259,0.39692091941833496,0.5204485654830933
3yms1whn8_r920kresL,1,3.0,3.0,0.45149198174476624,0.43223661184310913,0.09697220474481583,0.36559200286865234,0.5566473007202148
3yms1whn8_r920kresL,2,3.0,3.0,0.41094669699668884,0.3936225473880768,0.09029913693666458,0.3305646777153015,0.5086527466773987
3yms1whn8_r920kresL,3,3.0,3.0,0.5538321137428284,0.5725446939468384,0.039426855742931366,0.5085334181785583,0.5804182291030884
3yms1whn8_r920kresL,4,3.0,3.0,0.5009837746620178,0.49922361969947815,0.02858009748160839,0.47332441806793213,0.5304032564163208
4uv5qga2z_iow52nbfL,1,3.0,3.0,0.3857741355895996,0.3766072988510132,0.11916455626487732,0.2714577317237854,0.5092573761940002
4uv5qga2z_iow52nbfL,2,3.0,3.0,0.2840997874736786,0.17678095400333405,0.2560615837574005,0.09916013479232788,0.5763583183288574
4uv5qga2z_iow52nbfL,3,3.0,3.0,0.6924490928649902,0.6911829710006714,0.06638520956039429,0.6267060041427612,0.7594583034515381
4uv5qga2z_iow52nbfL,4,3.0,3.0,0.4296628534793854,0.4512312412261963,0.06496083736419678,0.35666120052337646,0.48109614849090576
5171koccj_7p2nvof4H,1,3.0,3.0,0.5599057674407959,0.5071097612380981,0.15834127366542816,0.4347076416015625,0.7378999590873718
5171koccj_7p2nvof4H,2,3.0,3.0,0.44087472558021545,0.516404390335083,0.14926911890506744,0.2689356505870819,0.5372840762138367
5171koccj_7p2nvof4H,3,3.0,3.0,0.40981045365333557,0.42222681641578674,0.036720093339681625,0.36849188804626465,0.4387127161026001
5171koccj_7p2nvof4H,4,3.0,3.0,0.40494272112846375,0.37695154547691345,0.10216747224330902,0.3196882903575897,0.5181882977485657
5l89gi5b0_i3oq5e6tH,1,3.0,3.0,0.5373376607894897,0.5064386129379272,0.11455414444208145,0.4414023160934448,0.6641720533370972
5l89gi5b0_i3oq5e6tH,2,3.0,3.0,0.5307673811912537,0.47447678446769714,0.10008440166711807,0.47150319814682007,0.6463221311569214
5l89gi5b0_i3oq5e6tH,3,3.0,3.0,0.48161742091178894,0.4409192204475403,0.11475183814764023,0.3927615284919739,0.6111714839935303
5l89gi5b0_i3oq5e6tH,4,3.0,3.0,0.7306830286979675,0.7050544619560242,0.08375471085309982,0.6627368927001953,0.8242576122283936
5p4p9nub5_r920kresL,1,3.0,3.0,0.14481234550476074,0.16534699499607086,0.1105206236243248,0.025464510545134544,0.24362550675868988
5p4p9nub5_r920kresL,2,3.0,3.0,0.5895448327064514,0.5917617678642273,0.13796661794185638,0.45048314332962036,0.7263896465301514
5p4p9nub5_r920kresL,3,3.0,3.0,0.43509960174560547,0.4504888355731964,0.05948738381266594,0.3694297671318054,0.48538023233413696
5p4p9nub5_r920kresL,4,3.0,3.0,0.378901869058609,0.2402956783771515,0.29033082723617554,0.18385063111782074,0.7125593423843384
9xzdo10lx_7p2nvof4H,1,3.0,3.0,0.3631040155887604,0.34450381994247437,0.06955020874738693,0.30474504828453064,0.4400632679462433
9xzdo10lx_7p2nvof4H,2,3.0,3.0,0.6383940577507019,0.6672559380531311,0.10197266936302185,0.5251013040542603,0.7228250503540039
9xzdo10lx_7p2nvof4H,3,3.0,3.0,0.5524478554725647,0.5388638377189636,0.1638191044330597,0.3958437740802765,0.7226361036300659
9xzdo10lx_7p2nvof4H,4,3.0,3.0,0.7052765488624573,0.6803510785102844,0.09744274616241455,0.6227176189422607,0.8127610683441162
cjhc3hy5j_7p2nvof4H,1,3.0,3.0,0.48988011479377747,0.42928847670555115,0.22132232785224915,0.3051641583442688,0.7351877093315125
cjhc3hy5j_7p2nvof4H,2,3.0,3.0,0.5890610814094543,0.6320371627807617,0.10736623406410217,0.46686404943466187,0.6682820320129395
cjhc3hy5j_7p2nvof4H,3,3.0,3.0,0.49021628499031067,0.48903265595436096,0.025079570710659027,0.4657495319843292,0.515866756439209
cjhc3hy5j_7p2nvof4H,4,3.0,3.0,0.6552515625953674,0.6303595304489136,0.05861156806349754,0.6131943464279175,0.722200870513916
czy995vgh_r920kresL,1,3.0,3.0,0.2273741215467453,0.2412354052066803,0.09000726789236069,0.13124029338359833,0.3096466362476349
czy995vgh_r920kresL,2,3.0,3.0,0.5124148726463318,0.5060847997665405,0.01852818764746189,0.49788135290145874,0.5332785844802856
czy995vgh_r920kresL,3,3.0,3.0,0.7753467559814453,0.8166663646697998,0.08561746031045914,0.6769061088562012,0.8324679136276245
czy995vgh_r920kresL,4,3.0,3.0,0.4418269693851471,0.4614645838737488,0.07428207993507385,0.3596991002559662,0.5043172240257263
dpyn89dks_iow52nbfL,1,3.0,3.0,0.18512801826000214,0.1626625508069992,0.07603026181459427,0.12286192178726196,0.26985958218574524
dpyn89dks_iow52nbfL,2,3.0,3.0,0.22424639761447906,0.2110193967819214,0.12445630878210068,0.10693188011646271,0.3547879457473755
dpyn89dks_iow52nbfL,3,3.0,3.0,0.5027018189430237,0.48427140712738037,0.07965289056301117,0.43387967348098755,0.5899543166160583
dpyn89dks_iow52nbfL,4,3.0,3.0,0.3204416334629059,0.32196730375289917,0.09361923485994339,0.2260688841342926,0.4132887125015259
dtxsgs3aj_7p2nvof4H,1,3.0,3.0,0.6864442825317383,0.6992963552474976,0.10632883012294769,0.5742736458778381,0.7857630252838135
dtxsgs3aj_7p2nvof4H,2,3.0,3.0,0.4874352514743805,0.4965423345565796,0.1063142642378807,0.37686043977737427,0.5889030694961548
dtxsgs3aj_7p2nvof4H,3,3.0,3.0,0.4724576473236084,0.36106014251708984,0.22006884217262268,0.33036038279533386,0.7259523272514343
dtxsgs3aj_7p2nvof4H,4,3.0,3.0,0.4100341498851776,0.361525297164917,0.29580825567245483,0.14147856831550598,0.7270985841751099
fcb7bmvvh_7p2nvof4H,1,3.0,3.0,0.35190024971961975,0.29025062918663025,0.15421761572360992,0.23804417252540588,0.5274059772491455
fcb7bmvvh_7p2nvof4H,2,3.0,3.0,0.5010690689086914,0.40789324045181274,0.2288408875465393,0.33351483941078186,0.7617990970611572
fcb7bmvvh_7p2nvof4H,3,3.0,3.0,0.45350930094718933,0.42762112617492676,0.08650974184274673,0.3828992545604706,0.5500074625015259
fcb7bmvvh_7p2nvof4H,4,3.0,3.0,0.4218544065952301,0.42985406517982483,0.05123980715870857,0.3670852780342102,0.4686238765716553
fek9p7w0j_r920kresL,1,3.0,3.0,0.3082692623138428,0.21178054809570312,0.21306325495243073,0.1605202853679657,0.5525069832801819
fek9p7w0j_r920kresL,2,3.0,3.0,0.2811962068080902,0.17026038467884064,0.23216691613197327,0.12530797719955444,0.5480202436447144
fek9p7w0j_r920kresL,3,3.0,3.0,0.40356016159057617,0.40721505880355835,0.06859871745109558,0.3332071006298065,0.4702584147453308
fek9p7w0j_r920kresL,4,3.0,3.0,0.49583694338798523,0.45175981521606445,0.14320392906665802,0.3798527717590332,0.6558982133865356
g3eqh2ire_iow52nbfL,1,3.0,3.0,0.38538429141044617,0.3968770503997803,0.1839599609375,0.19594736397266388,0.5633283853530884
g3eqh2ire_iow52nbfL,2,3.0,3.0,0.2978103458881378,0.2980329394340515,0.029281580820679665,0.2684181034564972,0.32697999477386475
g3eqh2ire_iow52nbfL,3,3.0,3.0,0.4901585578918457,0.4993051290512085,0.06455831974744797,0.42151474952697754,0.5496557950973511
g3eqh2ire_iow52nbfL,4,3.0,3.0,0.5330467820167542,0.5287001132965088,0.02181375026702881,0.5137336850166321,0.5567066669464111
hi5b3cmq4_iow52nbfL,1,3.0,3.0,0.19967405498027802,0.1639663130044937,0.10172651708126068,0.12061558663845062,0.3144402801990509
hi5b3cmq4_iow52nbfL,2,3.0,3.0,0.32323411107063293,0.30626824498176575,0.12271370738744736,0.2098861187696457,0.45354795455932617
hi5b3cmq4_iow52nbfL,3,3.0,3.0,0.5034763813018799,0.5076121091842651,0.02445179596543312,0.47722044587135315,0.525596559047699
hi5b3cmq4_iow52nbfL,4,3.0,3.0,0.49774011969566345,0.514580488204956,0.06473831832408905,0.4262457489967346,0.5523940920829773
i4w5wfiqi_i3oq5e6tH,1,3.0,3.0,0.541707456111908,0.5364223122596741,0.0871780663728714,0.45729219913482666,0.6314078569412231
i4w5wfiqi_i3oq5e6tH,2,3.0,3.0,0.36934611201286316,0.37868982553482056,0.06834016740322113,0.29681482911109924,0.4325336515903473
i4w5wfiqi_i3oq5e6tH,3,3.0,3.0,0.5581087470054626,0.5128902792930603,0.11549726873636246,0.47206205129623413,0.6893737316131592
i4w5wfiqi_i3oq5e6tH,4,3.0,3.0,0.6389806866645813,0.522440493106842,0.20557564496994019,0.5181555151939392,0.8763461112976074
iab05dwju_r920kresL,1,3.0,3.0,0.3815159797668457,0.3755813241004944,0.07750058174133301,0.3071533441543579,0.4618133008480072
iab05dwju_r920kresL,2,3.0,3.0,0.3404421806335449,0.34847110509872437,0.0432705283164978,0.29371947050094604,0.3791358768939972
iab05dwju_r920kresL,3,3.0,3.0,0.3840413987636566,0.40491652488708496,0.084716796875,0.29083842039108276,0.45636916160583496
iab05dwju_r920kresL,4,3.0,3.0,0.3700460195541382,0.34631896018981934,0.06303932517766953,0.32231318950653076,0.44150590896606445
mjmtlhqc2_7p2nvof4H,1,3.0,3.0,0.5749536156654358,0.5754992961883545,0.023052023723721504,0.5516335964202881,0.5977279543876648
mjmtlhqc2_7p2nvof4H,2,3.0,3.0,0.5297494530677795,0.49693241715431213,0.08562734723091125,0.46538466215133667,0.6269312500953674
mjmtlhqc2_7p2nvof4H,3,3.0,3.0,0.2726420760154724,0.24965566396713257,0.08861222118139267,0.1977880299091339,0.37048250436782837
mjmtlhqc2_7p2nvof4H,4,3.0,3.0,0.22784209251403809,0.16719460487365723,0.1924511343240738,0.07302034646272659,0.44331130385398865
msmg1m4ue_iow52nbfL,1,3.0,3.0,0.3189687430858612,0.2653150260448456,0.22206741571426392,0.12864381074905396,0.5629473924636841
msmg1m4ue_iow52nbfL,2,3.0,3.0,0.5442619323730469,0.5207685828208923,0.07135166972875595,0.48761922121047974,0.6243979930877686
msmg1m4ue_iow52nbfL,3,3.0,3.0,0.593778669834137,0.5977522134780884,0.10468055307865143,0.48716795444488525,0.696415901184082
msmg1m4ue_iow52nbfL,4,3.0,3.0,0.522814154624939,0.45801842212677,0.16391505300998688,0.40120139718055725,0.709222674369812
oghwt207z_7p2nvof4H,1,3.0,3.0,0.3497469127178192,0.31844794750213623,0.0946885272860527,0.27467042207717896,0.45612233877182007
oghwt207z_7p2nvof4H,2,3.0,3.0,0.5552513599395752,0.5172675848007202,0.10053276270627975,0.4792444705963135,0.6692419648170471
oghwt207z_7p2nvof4H,3,3.0,3.0,0.5306813716888428,0.46752482652664185,0.18363606929779053,0.3869580626487732,0.7375612258911133
oghwt207z_7p2nvof4H,4,3.0,3.0,0.6299635171890259,0.5511819124221802,0.18455937504768372,0.4978688657283783,0.8408397436141968
peio9rhh8_7p2nvof4H,1,3.0,3.0,0.4237677752971649,0.381845623254776,0.07817134261131287,0.37549978494644165,0.5139578580856323
peio9rhh8_7p2nvof4H,2,3.0,3.0,0.48806777596473694,0.5057350993156433,0.1690831482410431,0.3108447194099426,0.6476236581802368
peio9rhh8_7p2nvof4H,3,3.0,3.0,0.5259230732917786,0.46498817205429077,0.12593898177146912,0.44204092025756836,0.6707401275634766
peio9rhh8_7p2nvof4H,4,3.0,3.0,0.4217163622379303,0.4403429329395294,0.0818648636341095,0.33214324712753296,0.4926629662513733
plmighu3z_r920kresL,1,3.0,3.0,0.6079139709472656,0.600694477558136,0.11737997084856033,0.4943104386329651,0.7287371158599854
plmighu3z_r920kresL,2,3.0,3.0,0.3407529890537262,0.34408003091812134,0.07859411090612411,0.2605482339859009,0.41763079166412354
plmighu3z_r920kresL,3,3.0,3.0,0.4198199212551117,0.49544715881347656,0.17422184348106384,0.22056393325328827,0.5434486865997314
plmighu3z_r920kresL,4,3.0,3.0,0.6434699892997742,0.6486439108848572,0.02008221484720707,0.6213070154190063,0.6604589223861694
psiqfoqqa_i3oq5e6tH,1,3.0,3.0,0.35660767555236816,0.30241966247558594,0.18019631505012512,0.2097233682870865,0.5576800107955933
psiqfoqqa_i3oq5e6tH,2,3.0,3.0,0.554652988910675,0.5625360012054443,0.04560806229710579,0.5056172609329224,0.5958057045936584
psiqfoqqa_i3oq5e6tH,3,3.0,3.0,0.5920328497886658,0.6080493927001953,0.11570500582456589,0.4691539406776428,0.6988950967788696
psiqfoqqa_i3oq5e6tH,4,3.0,3.0,0.48328062891960144,0.5454943180084229,0.11799478530883789,0.3471982479095459,0.5571492910385132
pxat8o8cz_iow52nbfL,1,3.0,3.0,0.23380137979984283,0.17995893955230713,0.19106227159500122,0.07543759047985077,0.4460076093673706
pxat8o8cz_iow52nbfL,2,3.0,3.0,0.5115022659301758,0.557660698890686,0.15358583629131317,0.3401305675506592,0.6367155313491821
pxat8o8cz_iow52nbfL,3,3.0,3.0,0.5143783688545227,0.5752494931221008,0.10894189029932022,0.38860464096069336,0.5792809724807739
pxat8o8cz_iow52nbfL,4,3.0,3.0,0.5012875199317932,0.5178424715995789,0.04505316913127899,0.4502989649772644,0.5357211828231812
q827jyv4x_iow52nbfL,1,3.0,3.0,0.19521375000476837,0.143447607755661,0.13378851115703583,0.09504303336143494,0.34715065360069275
q827jyv4x_iow52nbfL,2,3.0,3.0,0.5231369137763977,0.5116927027702332,0.06766330450773239,0.4619255065917969,0.5957925319671631
q827jyv4x_iow52nbfL,3,3.0,3.0,0.6640190482139587,0.6740658283233643,0.03251870349049568,0.6276625394821167,0.6903287172317505
q827jyv4x_iow52nbfL,4,3.0,3.0,0.6778275966644287,0.6325327157974243,0.09125030040740967,0.6180863380432129,0.7828637361526489
qwkawncgn_r920kresL,1,3.0,3.0,0.23403823375701904,0.30050182342529297,0.14729976654052734,0.06521822512149811,0.33639466762542725
qwkawncgn_r920kresL,2,3.0,3.0,0.18992875516414642,0.1528516560792923,0.23648889362812042,-0.025831567123532295,0.4427661597728729
qwkawncgn_r920kresL,3,3.0,3.0,0.4864576756954193,0.4784613251686096,0.05582524091005325,0.43506181240081787,0.5458499193191528
qwkawncgn_r920kresL,4,3.0,3.0,0.25103092193603516,0.26579028367996216,0.07017053663730621,0.17465469241142273,0.31264781951904297
rlzyoiwkj_i3oq5e6tH,1,3.0,3.0,0.3215932846069336,0.4193642735481262,0.21126946806907654,0.07914793491363525,0.4662676155567169
rlzyoiwkj_i3oq5e6tH,2,3.0,3.0,0.7267515063285828,0.7274153232574463,0.041755013167858124,0.6846684813499451,0.7681705951690674
rlzyoiwkj_i3oq5e6tH,3,3.0,3.0,0.3525960445404053,0.33177345991134644,0.11347191780805588,0.25097745656967163,0.47503718733787537
rlzyoiwkj_i3oq5e6tH,4,3.0,3.0,0.6525576710700989,0.6590505242347717,0.07063774764537811,0.5788977146148682,0.7197248935699463
suxnj0hys_7p2nvof4H,1,3.0,3.0,0.2280171662569046,0.2591356039047241,0.0752975344657898,0.14214827120304108,0.2827676236629486
suxnj0hys_7p2nvof4H,2,3.0,3.0,0.6158477663993835,0.494570255279541,0.233228400349617,0.46824556589126587,0.8847275376319885
suxnj0hys_7p2nvof4H,3,3.0,3.0,0.5818752646446228,0.5699499249458313,0.08905582875013351,0.4993829131126404,0.6762928366661072
suxnj0hys_7p2nvof4H,4,3.0,3.0,0.5521473288536072,0.5458575487136841,0.039939943701028824,0.5157254338264465,0.5948589444160461
t1xk22q3b_iow52nbfL,1,3.0,3.0,0.13718672096729279,0.14558535814285278,0.06303765624761581,0.07037076354026794,0.19560404121875763
t1xk22q3b_iow52nbfL,2,3.0,3.0,0.31466349959373474,0.31142550706863403,0.03392340615391731,0.28247517347335815,0.35008978843688965
t1xk22q3b_iow52nbfL,3,3.0,3.0,0.22743217647075653,0.1781160831451416,0.1183159276843071,0.14175161719322205,0.36242878437042236
t1xk22q3b_iow52nbfL,4,3.0,3.0,0.5575193166732788,0.6105581521987915,0.10660099238157272,0.4348025321960449,0.627197265625
twv4tavfw_i3oq5e6tH,1,3.0,3.0,0.17053867876529694,0.09347561001777649,0.1511576771736145,0.07344350218772888,0.34469693899154663
twv4tavfw_i3oq5e6tH,2,3.0,3.0,0.3851880133152008,0.3780449628829956,0.0555015429854393,0.33360379934310913,0.4439152479171753
twv4tavfw_i3oq5e6tH,3,3.0,3.0,0.5310871005058289,0.4316534399986267,0.17223891615867615,0.4316362738609314,0.7299714088439941
twv4tavfw_i3oq5e6tH,4,3.0,3.0,0.6099533438682556,0.6118447184562683,0.028339406475424767,0.5807155966758728,0.637299656867981
vrv867wu7_i3oq5e6tH,1,3.0,3.0,0.28354451060295105,0.1202496886253357,0.2975616157054901,0.10338281095027924,0.6270010471343994
vrv867wu7_i3oq5e6tH,2,3.0,3.0,0.2456461638212204,0.1386214792728424,0.22562843561172485,0.09344638884067535,0.5048706531524658
vrv867wu7_i3oq5e6tH,3,3.0,3.0,0.6529185771942139,0.5736067295074463,0.13994115591049194,0.5706493258476257,0.8144996762275696
vrv867wu7_i3oq5e6tH,4,3.0,3.0,0.6452128887176514,0.668066143989563,0.10160231590270996,0.5341302156448364,0.7334423065185547
w0h9sbawo_i3oq5e6tH,1,3.0,3.0,0.3230631947517395,0.30018723011016846,0.070241279900074,0.267111599445343,0.40189075469970703
w0h9sbawo_i3oq5e6tH,2,3.0,3.0,0.35794997215270996,0.345586895942688,0.03677280992269516,0.328951895236969,0.3993111252784729
w0h9sbawo_i3oq5e6tH,3,3.0,3.0,0.45363035798072815,0.41226381063461304,0.08250263333320618,0.399994820356369,0.5486325025558472
w0h9sbawo_i3oq5e6tH,4,3.0,3.0,0.5246341824531555,0.5491781234741211,0.08967622369527817,0.42524152994155884,0.5994830131530762
w5wnt9d98_i3oq5e6tH,1,3.0,3.0,0.37125062942504883,0.23762373626232147,0.2631368935108185,0.20174026489257812,0.6743878126144409
w5wnt9d98_i3oq5e6tH,2,3.0,3.0,0.5294909477233887,0.43161582946777344,0.17165960371494293,0.42915573716163635,0.7277013063430786
w5wnt9d98_i3oq5e6tH,3,3.0,3.0,0.658585250377655,0.6721912622451782,0.07562350481748581,0.5770823955535889,0.7264821529388428
w5wnt9d98_i3oq5e6tH,4,3.0,3.0,0.38195085525512695,0.3181373178958893,0.18988622725009918,0.2321912944316864,0.5955239534378052
winww1z7z_iow52nbfL,1,3.0,3.0,0.4587189257144928,0.45245444774627686,0.07136905193328857,0.39068859815597534,0.5330137014389038
winww1z7z_iow52nbfL,2,3.0,3.0,0.30552515387535095,0.31815391778945923,0.1032848060131073,0.19650664925575256,0.40191489458084106
winww1z7z_iow52nbfL,3,3.0,3.0,0.42027154564857483,0.36369121074676514,0.10269241780042648,0.35831356048583984,0.5388098955154419
winww1z7z_iow52nbfL,4,3.0,3.0,0.47460058331489563,0.483955979347229,0.02085462585091591,0.450706422328949,0.4891393780708313
z7ply7bzt_i3oq5e6tH,1,3.0,3.0,0.3282497227191925,0.3301331400871277,0.1516280621290207,0.1756887435913086,0.4789273142814636
z7ply7bzt_i3oq5e6tH,2,3.0,3.0,0.45423606038093567,0.4708788990974426,0.0918046161532402,0.35524851083755493,0.5365808010101318
z7ply7bzt_i3oq5e6tH,3,3.0,3.0,0.6203381419181824,0.624518632888794,0.08310075104236603,0.535226047039032,0.7012697458267212
z7ply7bzt_i3oq5e6tH,4,3.0,3.0,0.44976457953453064,0.3376649022102356,0.21733534336090088,0.3113666772842407,0.7002620697021484
